Orthogroup	Apatococcus_fuscideae-Prasiolales.prot	Apatococcus_lobatus-Prasiolales.prot
OG0001192	KAK9868859.1	KAK9820751.1, KAK9825550.1, KAK9836416.1
OG0001193	KAK9868866.1, KAK9868867.1	KAK9835615.1, KAK9835616.1
OG0001194	KAK9868934.1	KAK9816290.1, KAK9833088.1, KAK9833089.1
OG0001195	KAK9868953.1, KAK9868954.1, KAK9868955.1	KAK9833120.1
OG0001196	KAK9868990.1, KAK9868991.1, KAK9868992.1	KAK9838020.1
OG0001197	KAK9869012.1, KAK9869013.1	KAK9818571.1, KAK9837581.1
OG0001198	KAK9869028.1, KAK9869029.1, KAK9869030.1	KAK9839935.1
OG0001199	Null	KAK9816077.1, KAK9816097.1, KAK9816110.1, KAK9845083.1
OG0001200	Null	KAK9816091.1, KAK9816132.1, KAK9816158.1, KAK9844680.1
OG0001201	Null	KAK9816152.1, KAK9827044.1, KAK9827104.1, KAK9835784.1
OG0001202	Null	KAK9817594.1, KAK9817595.1, KAK9817596.1, KAK9817597.1
OG0001203	Null	KAK9818518.1, KAK9819034.1, KAK9819049.1, KAK9822583.1
OG0001204	Null	KAK9818641.1, KAK9819353.1, KAK9822422.1, KAK9841576.1
OG0001205	Null	KAK9820692.1, KAK9822407.1, KAK9835534.1, KAK9840176.1
OG0001206	Null	KAK9820885.1, KAK9827813.1, KAK9828332.1, KAK9840150.1
OG0001207	Null	KAK9821630.1, KAK9830808.1, KAK9830820.1, KAK9830821.1
OG0001208	Null	KAK9824868.1, KAK9824869.1, KAK9824870.1, KAK9824871.1
OG0001209	Null	KAK9825821.1, KAK9837938.1, KAK9845048.1, KAK9845049.1
OG0001210	Null	KAK9826230.1, KAK9826233.1, KAK9826244.1, KAK9826342.1
OG0001211	Null	KAK9826534.1, KAK9838693.1, KAK9839030.1, KAK9839031.1
OG0001212	Null	KAK9826590.1, KAK9826591.1, KAK9826681.1, KAK9839944.1
OG0001213	Null	KAK9826989.1, KAK9827176.1, KAK9831031.1, KAK9831213.1
OG0001214	Null	KAK9827517.1, KAK9840294.1, KAK9840295.1, KAK9840296.1
OG0001215	Null	KAK9828354.1, KAK9843176.1, KAK9843177.1, KAK9844561.1
OG0001216	Null	KAK9831626.1, KAK9831795.1, KAK9833718.1, KAK9841354.1
OG0001217	Null	KAK9832128.1, KAK9832187.1, KAK9832345.1, KAK9832416.1
OG0001218	Null	KAK9832274.1, KAK9832275.1, KAK9832276.1, KAK9832277.1
OG0001219	Null	KAK9833614.1, KAK9833615.1, KAK9833724.1, KAK9833725.1
OG0001220	Null	KAK9833671.1, KAK9833672.1, KAK9833673.1, KAK9833674.1
OG0001221	Null	KAK9833850.1, KAK9833851.1, KAK9839133.1, KAK9844897.1
OG0001222	Null	KAK9834435.1, KAK9834436.1, KAK9834437.1, KAK9834438.1
OG0001223	Null	KAK9835561.1, KAK9842704.1, KAK9843267.1, KAK9844772.1
OG0001224	Null	KAK9836910.1, KAK9836911.1, KAK9840210.1, KAK9841611.1
OG0001225	Null	KAK9839938.1, KAK9840127.1, KAK9840301.1, KAK9840384.1
OG0001226	Null	KAK9844286.1, KAK9844287.1, KAK9844288.1, KAK9844289.1
OG0001227	Null	KAK9844555.1, KAK9844718.1, KAK9845109.1, KAK9845118.1
OG0001228	KAK9831478.1, KAK9862780.1	KAK9818751.1
OG0001229	KAK9831549.1	KAK9827435.1, KAK9827436.1
OG0001230	KAK9831912.1, KAK9839552.1	KAK9818808.1
OG0001231	KAK9831919.1, KAK9868696.1	KAK9844495.1
OG0001232	KAK9831921.1, KAK9862110.1	KAK9833149.1
OG0001233	KAK9832012.1, KAK9856115.1	KAK9837826.1
OG0001234	KAK9832015.1, KAK9861112.1	KAK9834439.1
OG0001235	KAK9832016.1, KAK9861115.1	KAK9834542.1
OG0001236	KAK9832023.1	KAK9832317.1, KAK9832448.1
OG0001237	KAK9832119.1, KAK9853607.1	KAK9834800.1
OG0001238	KAK9832121.1, KAK9833373.1	KAK9837747.1
OG0001239	KAK9832122.1	KAK9834432.1, KAK9834433.1
OG0001240	KAK9832474.1, KAK9832475.1	KAK9833860.1
OG0001241	KAK9832564.1, KAK9857203.1	KAK9816212.1
OG0001242	KAK9832568.1	KAK9825724.1, KAK9825725.1
OG0001243	KAK9832665.1	KAK9831284.1, KAK9842982.1
OG0001244	KAK9832672.1, KAK9834092.1	KAK9844538.1
OG0001245	KAK9832673.1, KAK9834091.1	KAK9844581.1
OG0001246	KAK9832677.1, KAK9843938.1	KAK9835537.1
OG0001247	KAK9832681.1, KAK9832682.1, KAK9832683.1	
OG0001248	KAK9832757.1	KAK9816060.1, KAK9816061.1
OG0001249	KAK9832759.1	KAK9842961.1, KAK9843207.1
OG0001250	KAK9832761.1, KAK9832762.1	KAK9837840.1
OG0001251	KAK9832765.1, KAK9857549.1	KAK9843003.1
OG0001252	KAK9832771.1, KAK9868114.1	KAK9827479.1
OG0001253	KAK9832861.1, KAK9861522.1	KAK9818702.1
OG0001254	KAK9833249.1	KAK9844509.1, KAK9844510.1
OG0001255	KAK9833251.1	KAK9835900.1, KAK9835901.1
OG0001256	KAK9833349.1, KAK9835103.1	KAK9824729.1
OG0001257	KAK9833354.1, KAK9863992.1	KAK9818494.1
OG0001258	KAK9833357.1, KAK9868536.1	KAK9818487.1
OG0001259	KAK9833358.1, KAK9868535.1	KAK9818478.1
OG0001260	KAK9833361.1, KAK9862820.1	KAK9832871.1
OG0001261	KAK9833362.1, KAK9865624.1	KAK9817487.1
OG0001262	KAK9833363.1, KAK9867552.1	KAK9819358.1
OG0001263	KAK9833365.1, KAK9867559.1	KAK9819343.1
OG0001264	KAK9833366.1, KAK9861240.1	KAK9821045.1
OG0001265	KAK9833372.1	KAK9817624.1, KAK9834701.1
OG0001266	KAK9833481.1, KAK9868058.1	KAK9841266.1
OG0001267	KAK9833483.1, KAK9868902.1	KAK9825816.1
OG0001268	KAK9833484.1, KAK9868900.1	KAK9825733.1
OG0001269	KAK9833485.1, KAK9842190.1	KAK9816044.1
OG0001270	KAK9833493.1, KAK9853400.1	KAK9817560.1
OG0001271	KAK9833495.1, KAK9860325.1	KAK9822976.1
OG0001272	KAK9833496.1	KAK9835452.1, KAK9842884.1
OG0001273	KAK9833497.1, KAK9863634.1	KAK9822412.1
OG0001274	KAK9833500.1, KAK9853083.1	KAK9832409.1
OG0001275	KAK9833512.1, KAK9868807.1	KAK9828289.1
OG0001276	KAK9833592.1, KAK9863401.1	KAK9837943.1
OG0001277	KAK9833594.1, KAK9848489.1	KAK9844647.1
OG0001278	KAK9833963.1, KAK9867292.1	KAK9822113.1
OG0001279	KAK9833964.1	KAK9822055.1, KAK9822056.1
OG0001280	KAK9833971.1, KAK9861961.1	KAK9840183.1
OG0001281	KAK9833974.1, KAK9867861.1	KAK9827836.1
OG0001282	KAK9834085.1, KAK9866257.1	KAK9831638.1
OG0001283	KAK9834086.1, KAK9866249.1	KAK9831760.1
OG0001284	KAK9834093.1, KAK9840908.1	KAK9822979.1
OG0001285	KAK9834098.1	KAK9832984.1, KAK9832985.1
OG0001286	KAK9834103.1, KAK9853622.1	KAK9825805.1
OG0001287	KAK9834105.1, KAK9853620.1	KAK9825740.1
OG0001288	KAK9834109.1	KAK9827214.1, KAK9832166.1
OG0001289	KAK9834115.1, KAK9845177.1	KAK9844473.1
OG0001290	KAK9834118.1, KAK9860398.1	KAK9837667.1
OG0001291	KAK9834119.1, KAK9860399.1	KAK9837839.1
OG0001292	KAK9834120.1, KAK9858372.1	KAK9821489.1
OG0001293	KAK9834121.1, KAK9858374.1	KAK9821498.1
OG0001294	KAK9834122.1, KAK9858375.1	KAK9821542.1
OG0001295	KAK9834216.1, KAK9834217.1	KAK9831718.1
OG0001296	KAK9834218.1, KAK9834219.1, KAK9834220.1	
OG0001297	KAK9834221.1, KAK9867870.1	KAK9821205.1
OG0001298	KAK9834222.1, KAK9867882.1	KAK9821179.1
OG0001299	KAK9834224.1, KAK9868869.1	KAK9835605.1
OG0001300	KAK9834237.1, KAK9849644.1	KAK9825104.1
OG0001301	KAK9834238.1, KAK9849647.1	KAK9825084.1
OG0001302	KAK9834245.1, KAK9862424.1	KAK9836564.1
OG0001303	KAK9834246.1, KAK9862422.1	KAK9836796.1
OG0001304	KAK9834249.1, KAK9851896.1	KAK9838996.1
OG0001305	KAK9834346.1, KAK9868786.1	KAK9822735.1
OG0001306	KAK9834348.1, KAK9868773.1	KAK9822770.1
OG0001307	KAK9834358.1	KAK9844957.1, KAK9844958.1
OG0001308	KAK9834922.1	KAK9837559.1, KAK9837560.1
OG0001309	KAK9834923.1, KAK9861769.1	KAK9825994.1
OG0001310	KAK9834936.1, KAK9861521.1	KAK9818665.1
OG0001311	KAK9834937.1, KAK9861520.1	KAK9818686.1
OG0001312	KAK9834938.1, KAK9834939.1, KAK9834940.1	
OG0001313	KAK9834942.1, KAK9865649.1, KAK9865650.1	
OG0001314	KAK9834956.1, KAK9866524.1	KAK9825535.1
OG0001315	KAK9835074.1, KAK9866700.1	KAK9839967.1
OG0001316	KAK9835078.1, KAK9861513.1, KAK9863800.1	
OG0001317	KAK9835084.1, KAK9863246.1	KAK9844830.1
OG0001318	KAK9835086.1, KAK9863241.1	KAK9844346.1
OG0001319	KAK9835089.1, KAK9835090.1	KAK9830711.1
OG0001320	KAK9835095.1, KAK9835096.1	KAK9827442.1
OG0001321	KAK9835102.1, KAK9867845.1	KAK9831560.1
OG0001322	KAK9835104.1, KAK9835105.1, KAK9853135.1	
OG0001323	KAK9835106.1, KAK9867989.1	KAK9818472.1
OG0001324	KAK9835107.1	KAK9818449.1, KAK9818775.1
OG0001325	KAK9835116.1, KAK9857590.1	KAK9838985.1
OG0001326	KAK9835119.1, KAK9863448.1	KAK9842839.1
OG0001327	KAK9835121.1	KAK9815960.1, KAK9841598.1
OG0001328	KAK9835253.1	KAK9818717.1, KAK9818762.1
OG0001329	KAK9835256.1, KAK9835257.1	KAK9819215.1
OG0001330	KAK9835260.1, KAK9846158.1	KAK9819335.1
OG0001331	KAK9835261.1, KAK9846156.1	KAK9819323.1
OG0001332	KAK9835263.1, KAK9846155.1	KAK9819298.1
OG0001333	KAK9835265.1, KAK9846154.1	KAK9819288.1
OG0001334	KAK9835266.1	KAK9835550.1, KAK9835551.1
OG0001335	KAK9835267.1	KAK9835804.1, KAK9835805.1
OG0001336	KAK9835271.1, KAK9865700.1	KAK9821812.1
OG0001337	KAK9835273.1	KAK9816292.1, KAK9844621.1
OG0001338	KAK9835280.1, KAK9865395.1	KAK9816022.1
OG0001339	KAK9835285.1, KAK9837371.1	KAK9830787.1
OG0001340	KAK9835286.1, KAK9837368.1	KAK9830844.1
OG0001341	KAK9835288.1	KAK9818860.1, KAK9818883.1
OG0001342	KAK9835291.1, KAK9839354.1	KAK9838639.1
OG0001343	KAK9835295.1, KAK9866814.1	KAK9839905.1
OG0001344	KAK9835297.1	KAK9827034.1, KAK9841122.1
OG0001345	KAK9835926.1, KAK9864357.1	KAK9821689.1
OG0001346	KAK9835928.1, KAK9839594.1	KAK9837831.1
OG0001347	KAK9835929.1, KAK9863772.1	KAK9837912.1
OG0001348	KAK9835932.1, KAK9839592.1	KAK9837967.1
OG0001349	KAK9835935.1	KAK9843284.1, KAK9843285.1
OG0001350	KAK9835938.1	KAK9819030.1, KAK9834383.1
OG0001351	KAK9836045.1, KAK9836046.1	KAK9844335.1
OG0001352	KAK9836051.1, KAK9837359.1	KAK9836879.1
OG0001353	KAK9836053.1, KAK9837360.1	KAK9836583.1
OG0001354	KAK9836056.1	KAK9817429.1, KAK9817430.1
OG0001355	KAK9836057.1, KAK9864883.1	KAK9841352.1
OG0001356	KAK9836058.1, KAK9864884.1	KAK9841222.1
OG0001357	KAK9836059.1, KAK9864885.1	KAK9841199.1
OG0001358	KAK9836068.1	KAK9831738.1, KAK9841701.1
OG0001359	KAK9836078.1, KAK9863056.1	KAK9820808.1
OG0001360	KAK9836080.1, KAK9863058.1	KAK9820784.1
OG0001361	KAK9836082.1, KAK9866918.1	KAK9838879.1
OG0001362	KAK9836083.1, KAK9864267.1	KAK9835913.1
OG0001363	KAK9836205.1, KAK9843915.1	KAK9841535.1
OG0001364	KAK9836207.1, KAK9836208.1	KAK9837600.1
OG0001365	KAK9836213.1, KAK9868685.1	KAK9842947.1
OG0001366	KAK9836220.1, KAK9852868.1	KAK9828232.1
OG0001367	KAK9836221.1, KAK9850626.1	KAK9824773.1
OG0001368	KAK9836225.1, KAK9866989.1	KAK9825618.1
OG0001369	KAK9836226.1, KAK9866987.1	KAK9825602.1
OG0001370	KAK9836228.1, KAK9866985.1	KAK9825542.1
OG0001371	KAK9836233.1, KAK9861811.1	KAK9822779.1
OG0001372	KAK9836235.1, KAK9862298.1	KAK9842902.1
OG0001373	KAK9836247.1, KAK9865228.1	KAK9831278.1
OG0001374	KAK9836251.1, KAK9849012.1	KAK9841185.1
OG0001375	KAK9836254.1	KAK9841231.1, KAK9841574.1
OG0001376	KAK9836368.1	KAK9816326.1, KAK9832289.1
OG0001377	KAK9836370.1	KAK9816328.1, KAK9835461.1
OG0001378	KAK9836378.1, KAK9862789.1	KAK9821486.1
OG0001379	KAK9836380.1, KAK9862783.1	KAK9821534.1
OG0001380	KAK9836384.1, KAK9869054.1	KAK9840436.1
OG0001381	KAK9836385.1, KAK9869037.1	KAK9840185.1
OG0001382	KAK9836401.1	KAK9824719.1, KAK9839951.1
OG0001383	KAK9836404.1	KAK9826052.1, KAK9841437.1
OG0001384	KAK9836405.1, KAK9853137.1	KAK9826027.1
OG0001385	KAK9836406.1, KAK9836407.1	KAK9825965.1
OG0001386	KAK9836926.1	KAK9822513.1, KAK9841287.1
OG0001387	KAK9837036.1, KAK9864060.1	KAK9840135.1
OG0001388	KAK9837037.1, KAK9864059.1	KAK9840090.1
OG0001389	KAK9837040.1	KAK9818975.1, KAK9818976.1
OG0001390	KAK9837041.1, KAK9865079.1	KAK9840373.1
OG0001391	KAK9837044.1, KAK9865866.1	KAK9828148.1
OG0001392	KAK9837052.1	KAK9818605.1, KAK9845114.1
OG0001393	KAK9837061.1, KAK9857219.1	KAK9844885.1
OG0001394	KAK9837062.1, KAK9857216.1	KAK9844421.1
OG0001395	KAK9837182.1, KAK9837389.1	KAK9820814.1
OG0001396	KAK9837185.1, KAK9864576.1	KAK9835717.1
OG0001397	KAK9837192.1	KAK9815958.1, KAK9833914.1
OG0001398	KAK9837195.1, KAK9868182.1	KAK9844394.1
OG0001399	KAK9837201.1, KAK9863037.1	KAK9838729.1
OG0001400	KAK9837202.1, KAK9861958.1	KAK9838919.1
OG0001401	KAK9837212.1, KAK9837213.1	KAK9820802.1
OG0001402	KAK9837214.1, KAK9837215.1	KAK9820773.1
OG0001403	KAK9837223.1, KAK9863965.1	KAK9843253.1
OG0001404	KAK9837358.1	KAK9836693.1, KAK9836694.1
OG0001405	KAK9837372.1	KAK9816033.1, KAK9816034.1
OG0001406	KAK9837380.1, KAK9863200.1	KAK9817486.1
OG0001407	KAK9837385.1, KAK9837386.1	KAK9830846.1
OG0001408	KAK9837388.1, KAK9861063.1	KAK9840375.1
OG0001409	KAK9837394.1, KAK9856462.1	KAK9833028.1
OG0001410	KAK9837397.1, KAK9861133.1	KAK9837662.1
OG0001411	KAK9837404.1, KAK9846738.1	KAK9826299.1
OG0001412	KAK9837525.1, KAK9862864.1	KAK9831207.1
OG0001413	KAK9837526.1	KAK9831216.1, KAK9831217.1
OG0001414	KAK9837527.1	KAK9821002.1, KAK9831112.1
OG0001415	KAK9837531.1, KAK9849142.1	KAK9824887.1
OG0001416	KAK9837532.1, KAK9849140.1	KAK9824951.1
OG0001417	KAK9837537.1, KAK9863849.1	KAK9819429.1
OG0001418	KAK9837538.1, KAK9863851.1	KAK9819443.1
OG0001419	KAK9837541.1, KAK9837542.1	KAK9835828.1
OG0001420	KAK9837544.1, KAK9850605.1	KAK9835757.1
OG0001421	KAK9838073.1, KAK9855439.1	KAK9834759.1
OG0001422	KAK9838076.1	KAK9832355.1, KAK9832356.1
OG0001423	KAK9838205.1	KAK9842693.1, KAK9842694.1
OG0001424	KAK9838211.1, KAK9865553.1	KAK9818838.1
OG0001425	KAK9838214.1	KAK9831631.1, KAK9831632.1
OG0001426	KAK9838218.1, KAK9862758.1	KAK9825061.1
OG0001427	KAK9838220.1, KAK9863222.1	KAK9818671.1
OG0001428	KAK9838222.1, KAK9847953.1	KAK9831758.1
OG0001429	KAK9838227.1, KAK9849505.1	KAK9826648.1
OG0001430	KAK9838228.1, KAK9849506.1	KAK9826618.1
OG0001431	KAK9838230.1, KAK9849509.1	KAK9826528.1
OG0001432	KAK9838234.1	KAK9818767.1, KAK9822271.1
OG0001433	KAK9838236.1	KAK9825744.1, KAK9841292.1
OG0001434	KAK9838237.1, KAK9842158.1	KAK9841128.1
OG0001435	KAK9838392.1, KAK9838594.1	KAK9821839.1
OG0001436	KAK9838396.1, KAK9863620.1	KAK9836863.1
OG0001437	KAK9838400.1	KAK9838792.1, KAK9838793.1
OG0001438	KAK9838401.1, KAK9867475.1	KAK9820675.1
OG0001439	KAK9838407.1, KAK9865581.1	KAK9835585.1
OG0001440	KAK9838408.1	KAK9816287.1, KAK9830842.1
OG0001441	KAK9838409.1, KAK9865588.1	KAK9835601.1
OG0001442	KAK9838410.1, KAK9868785.1	KAK9835527.1
OG0001443	KAK9838412.1, KAK9867913.1	KAK9840266.1
OG0001444	KAK9838415.1, KAK9867922.1	KAK9839908.1
OG0001445	KAK9838417.1, KAK9854212.1	KAK9826930.1
OG0001446	KAK9838418.1, KAK9854214.1	KAK9827221.1
OG0001447	KAK9838420.1, KAK9866694.1	KAK9822137.1
OG0001448	KAK9838421.1, KAK9854485.1	KAK9822057.1
OG0001449	KAK9838424.1, KAK9849927.1	KAK9822058.1
OG0001450	KAK9838427.1, KAK9849925.1	KAK9822064.1
OG0001451	KAK9838428.1, KAK9861668.1	KAK9841138.1
OG0001452	KAK9838432.1, KAK9865874.1	KAK9836696.1
OG0001453	KAK9838444.1, KAK9856116.1	KAK9837597.1
OG0001454	KAK9838445.1, KAK9868013.1	KAK9835855.1
OG0001455	KAK9838446.1, KAK9862204.1	KAK9835637.1
OG0001456	KAK9838447.1, KAK9865019.1	KAK9839103.1
OG0001457	KAK9838448.1	KAK9838794.1, KAK9838795.1
OG0001458	KAK9838583.1, KAK9864103.1	KAK9825328.1
OG0001459	KAK9838586.1, KAK9865621.1	KAK9821012.1
OG0001460	KAK9838587.1	KAK9821048.1, KAK9821060.1
OG0001461	KAK9838589.1, KAK9864981.1	KAK9816312.1
OG0001462	KAK9838591.1, KAK9864977.1	KAK9816302.1
OG0001463	KAK9838604.1, KAK9862706.1	KAK9835484.1
OG0001464	KAK9838614.1, KAK9863039.1	KAK9840043.1
OG0001465	KAK9838615.1, KAK9863043.1	KAK9840310.1
OG0001466	KAK9839181.1	KAK9833141.1, KAK9841680.1
OG0001467	KAK9839186.1, KAK9861540.1	KAK9840105.1
OG0001468	KAK9839187.1, KAK9861544.1	KAK9840388.1
OG0001469	KAK9839334.1, KAK9848859.1	KAK9840283.1
OG0001470	KAK9839338.1, KAK9847483.1	KAK9827547.1
OG0001471	KAK9839339.1, KAK9847482.1	KAK9827566.1
OG0001472	KAK9839340.1, KAK9862202.1	KAK9827414.1
OG0001473	KAK9839341.1, KAK9847484.1	KAK9827475.1
OG0001474	KAK9839342.1	KAK9820801.1, KAK9820806.1
OG0001475	KAK9839357.1, KAK9867049.1	KAK9822723.1
OG0001476	KAK9839358.1, KAK9867045.1	KAK9822737.1
OG0001477	KAK9839361.1	KAK9818740.1, KAK9844649.1
OG0001478	KAK9839365.1, KAK9863368.1	KAK9816180.1
OG0001479	KAK9839369.1, KAK9863991.1	KAK9844276.1
OG0001480	KAK9839376.1, KAK9839377.1	KAK9838710.1
OG0001481	KAK9839380.1, KAK9866837.1	KAK9839027.1
OG0001482	KAK9839382.1, KAK9856431.1	KAK9819026.1
OG0001483	KAK9839383.1, KAK9841099.1	KAK9821378.1
OG0001484	KAK9839385.1, KAK9865830.1	KAK9825212.1
OG0001485	KAK9839389.1	KAK9833934.1, KAK9833935.1
OG0001486	KAK9839391.1	KAK9827879.1, KAK9844840.1
OG0001487	KAK9839555.1, KAK9865400.1	KAK9840408.1
OG0001488	KAK9839560.1, KAK9861956.1	KAK9822945.1
OG0001489	KAK9839561.1, KAK9854210.1	KAK9822913.1
OG0001490	KAK9839568.1, KAK9862639.1	KAK9819137.1
OG0001491	KAK9839573.1, KAK9860402.1	KAK9844677.1
OG0001492	KAK9839582.1, KAK9839583.1, KAK9854216.1	
OG0001493	KAK9839587.1, KAK9853118.1	KAK9840274.1
OG0001494	KAK9839589.1, KAK9861189.1	KAK9840161.1
OG0001495	KAK9839595.1, KAK9867124.1	KAK9825749.1
OG0001496	KAK9839597.1, KAK9847273.1	KAK9825775.1
OG0001497	KAK9839722.1	KAK9822312.1, KAK9822313.1
OG0001498	KAK9839732.1, KAK9857204.1	KAK9824715.1
OG0001499	KAK9839734.1, KAK9864906.1	KAK9818829.1
OG0001500	KAK9839739.1, KAK9866676.1	KAK9833686.1
OG0001501	KAK9839743.1, KAK9839744.1	KAK9840174.1
OG0001502	KAK9839749.1	KAK9818929.1, KAK9818930.1
OG0001503	KAK9839750.1	KAK9818963.1, KAK9818964.1
OG0001504	KAK9839752.1, KAK9866879.1	KAK9827927.1
OG0001505	KAK9839760.1	KAK9825952.1, KAK9840414.1
OG0001506	KAK9839763.1	KAK9826021.1, KAK9826022.1
OG0001507	KAK9839892.1, KAK9866677.1	KAK9833649.1
OG0001508	KAK9839893.1, KAK9866678.1	KAK9833765.1
OG0001509	KAK9839895.1, KAK9866685.1	KAK9833936.1
OG0001510	KAK9840512.1, KAK9860340.1	KAK9837616.1
OG0001511	KAK9840513.1, KAK9860339.1	KAK9837916.1
OG0001512	KAK9840522.1, KAK9840523.1	KAK9821397.1
OG0001513	KAK9840525.1, KAK9866662.1	KAK9841150.1
OG0001514	KAK9840526.1, KAK9866667.1	KAK9841657.1
OG0001515	KAK9840531.1	KAK9831620.1, KAK9838708.1
OG0001516	KAK9840532.1, KAK9862844.1	KAK9838957.1
OG0001517	KAK9840533.1, KAK9864696.1	KAK9826559.1
OG0001518	KAK9840535.1, KAK9855109.1	KAK9822101.1
OG0001519	KAK9840670.1, KAK9867657.1	KAK9818538.1
OG0001520	KAK9840679.1, KAK9856788.1	KAK9820935.1
OG0001521	KAK9840682.1, KAK9841920.1	KAK9826634.1
OG0001522	KAK9840688.1	KAK9843236.1, KAK9843341.1
OG0001523	KAK9840693.1, KAK9852321.1, KAK9863434.1	
OG0001524	KAK9840700.1, KAK9861067.1	KAK9844527.1
OG0001525	KAK9840704.1, KAK9865215.1	KAK9836516.1
OG0001526	KAK9840705.1, KAK9840706.1, KAK9840707.1	
OG0001527	KAK9840711.1	KAK9840245.1, KAK9840246.1
OG0001528	KAK9840716.1, KAK9855486.1	KAK9833726.1
OG0001529	KAK9840848.1, KAK9841901.1	KAK9841498.1
OG0001530	KAK9840849.1, KAK9841900.1	KAK9841114.1
OG0001531	KAK9840855.1, KAK9851332.1	KAK9831736.1
OG0001532	KAK9840859.1, KAK9858838.1	KAK9837636.1
OG0001533	KAK9840860.1, KAK9868851.1	KAK9844743.1
OG0001534	KAK9840866.1	KAK9844331.1, KAK9844332.1
OG0001535	KAK9840871.1, KAK9861751.1	KAK9841234.1
OG0001536	KAK9840872.1, KAK9861143.1	KAK9841123.1
OG0001537	KAK9840874.1, KAK9843383.1	KAK9817589.1
OG0001538	KAK9840879.1, KAK9840880.1	KAK9822045.1
OG0001539	KAK9840884.1, KAK9861841.1	KAK9833922.1
OG0001540	KAK9840885.1, KAK9861846.1	KAK9833617.1
OG0001541	KAK9840887.1, KAK9856110.1	KAK9833774.1
OG0001542	KAK9840889.1, KAK9865850.1	KAK9817541.1
OG0001543	KAK9840891.1, KAK9865846.1	KAK9817563.1
OG0001544	KAK9840893.1, KAK9865848.1	KAK9817550.1
OG0001545	KAK9840896.1	KAK9818747.1, KAK9818748.1
OG0001546	KAK9840901.1	KAK9841167.1, KAK9841168.1
OG0001547	KAK9840903.1, KAK9853364.1	KAK9834614.1
OG0001548	KAK9840904.1, KAK9853363.1	KAK9834530.1
OG0001549	KAK9841062.1, KAK9855791.1	KAK9816320.1
OG0001550	KAK9841064.1, KAK9855792.1	KAK9816318.1
OG0001551	KAK9841065.1, KAK9868538.1	KAK9816333.1
OG0001552	KAK9841066.1, KAK9841067.1	KAK9818780.1
OG0001553	KAK9841074.1, KAK9864066.1	KAK9844401.1
OG0001554	KAK9841075.1, KAK9849386.1	KAK9837655.1
OG0001555	KAK9841076.1, KAK9854772.1	KAK9838042.1
OG0001556	KAK9841077.1, KAK9849382.1	KAK9837640.1
OG0001557	KAK9841081.1	KAK9824737.1, KAK9824754.1
OG0001558	KAK9841086.1, KAK9847737.1	KAK9817531.1
OG0001559	KAK9841088.1	KAK9835635.1, KAK9844397.1
OG0001560	KAK9841090.1	KAK9822087.1, KAK9835638.1
OG0001561	KAK9841094.1, KAK9848386.1	KAK9845104.1
OG0001562	KAK9841103.1, KAK9865651.1	KAK9821510.1
OG0001563	KAK9841104.1, KAK9865648.1	KAK9821505.1
OG0001564	KAK9841105.1, KAK9865645.1	KAK9821488.1
OG0001565	KAK9841880.1, KAK9862546.1	KAK9819454.1
OG0001566	KAK9841882.1, KAK9862548.1	KAK9819426.1
OG0001567	KAK9841886.1, KAK9843863.1	KAK9819128.1
OG0001568	KAK9841889.1, KAK9843858.1	KAK9819109.1
OG0001569	KAK9841894.1, KAK9864011.1	KAK9837988.1
OG0001570	KAK9841895.1, KAK9864012.1	KAK9838065.1
OG0001571	KAK9841903.1, KAK9849495.1	KAK9834608.1
OG0001572	KAK9841915.1, KAK9841916.1, KAK9841917.1	
OG0001573	KAK9841918.1, KAK9852814.1	KAK9826048.1
OG0001574	KAK9841922.1	KAK9831130.1, KAK9831131.1
OG0001575	KAK9841933.1, KAK9848238.1	KAK9825488.1
OG0001576	KAK9841934.1, KAK9865435.1	KAK9834507.1
OG0001577	KAK9842114.1, KAK9855437.1	KAK9834460.1
OG0001578	KAK9842121.1	KAK9827043.1, KAK9835517.1
OG0001579	KAK9842126.1, KAK9842127.1	KAK9839138.1
OG0001580	KAK9842130.1, KAK9861960.1	KAK9838893.1
OG0001581	KAK9842131.1, KAK9861272.1	KAK9837802.1
OG0001582	KAK9842138.1, KAK9846824.1	KAK9840047.1
OG0001583	KAK9842139.1	KAK9840088.1, KAK9840089.1
OG0001584	KAK9842149.1	KAK9824727.1, KAK9834791.1
OG0001585	KAK9842151.1	KAK9825979.1, KAK9840163.1
OG0001586	KAK9842162.1, KAK9863480.1	KAK9841278.1
OG0001587	KAK9842175.1, KAK9865937.1	KAK9833022.1
OG0001588	KAK9842177.1, KAK9865931.1	KAK9832976.1
OG0001589	KAK9842179.1, KAK9865942.1	KAK9833154.1
OG0001590	KAK9842182.1, KAK9862237.1	KAK9817437.1
OG0001591	KAK9842188.1	KAK9816171.1, KAK9831671.1
OG0001592	KAK9842366.1, KAK9850085.1	KAK9825536.1
OG0001593	KAK9842367.1, KAK9850081.1	KAK9825498.1
OG0001594	KAK9842370.1	KAK9818588.1, KAK9819122.1
OG0001595	KAK9842375.1	KAK9820744.1, KAK9820745.1
OG0001596	KAK9842378.1, KAK9856827.1	KAK9840191.1
OG0001597	KAK9842385.1, KAK9867245.1	KAK9830701.1
OG0001598	KAK9842386.1, KAK9862327.1	KAK9840213.1
OG0001599	KAK9842389.1	KAK9827097.1, KAK9839940.1
OG0001600	KAK9842390.1, KAK9868064.1	KAK9835698.1
